Causal,Cantidad de reclamos,%,Año
Inconformidad por desviacion significativa,4050,27%,2020
Inconformidad con el consumo o produccion facturado,2707,18%,2020
Cobros por promedio,2464,16%,2020
Inconformidad con el Aforo,1773,12%,2020
Cobro de medidor, 1479,10%,2020
Cobros inoportunos, 649,4%,2020
Cobro de cargosrelacionados con el servicio público,347,2%,2020
Pago sin abono a cuenta,334,2%,2020
Cobro por servicios no prestados,302,2%,2020
Subsidios y contribuciones,280,2%,2020
Cobros por conexión-reconexión-reinstalación,44,0%,2020
Clase de uso incorrecto,33,0%,2020
Tarifa incorrecta,1,0%,2020
Cobro de consumo registrado por medidor de otro predio,1,0%,2020
Solicitud de rompimiento de Solidaridad,1,0%,2020
Estrato incorrecto,1,0%,2020
